                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2499,                 2.8474,                 3.9136,                0.26999,                   0.25,                0.17794,                0.03234,                 1.9453,                 2.6799,                 3.9752,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.5888,                 1.9786,                 3.1496,                0.86972,                0.88158,                0.92162,                0.56573,                 1.1024,                 2.1709,                 2.7749,             0.00037842,             0.00037842,             0.00037842
                      3,                 1.2065,                 1.4261,                 2.8979,                0.87553,                0.89474,                0.93398,                0.65419,                 1.0464,                 1.8176,                 2.5656,             0.00051328,             0.00051328,             0.00051328
                      4,                  1.092,                 1.2843,                 2.7785,                0.83239,                0.94737,                0.94108,                0.66214,                 0.9584,                 2.1775,                 2.8857,             0.00060458,             0.00060458,             0.00060458
                      5,                 1.1133,                 1.1811,                 2.7613,                0.89887,                0.96053,                0.97312,                0.70062,                  1.022,                 1.2124,                 2.6678,             0.00065232,             0.00065232,             0.00065232
                      6,                 1.0671,                 1.0618,                 2.7208,                0.93936,                0.94737,                0.98763,                0.75233,                0.83922,                0.97479,                 2.4224,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.1565,                 1.0477,                 2.5797,                 0.9721,                0.91687,                0.98411,                0.77549,                0.87843,                0.89265,                 2.6198,             0.00061712,             0.00061712,             0.00061712
                      8,                 1.0776,                 1.0247,                 2.4719,                0.94746,                0.94915,                0.98196,                0.74436,                0.92573,                0.85867,                 2.6789,             0.00053418,             0.00053418,             0.00053418
                      9,                 1.0014,                0.93422,                  2.201,                0.90467,                      1,                0.98449,                0.73137,                 1.0013,                 0.8051,                 2.7761,             0.00040768,             0.00040768,             0.00040768
                     10,                0.91415,                0.88063,                 2.4693,                0.92307,                0.98684,                0.98654,                0.74133,                0.96475,                0.78948,                 2.7033,               0.000218,               0.000218,               0.000218
