                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8102,                 2.7365,                 3.4657,                0.72523,                0.62516,                0.58425,                0.18664,                 1.6278,                 1.9837,                 3.1853,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.1239,                 1.5185,                 2.5566,                0.92075,                0.92105,                0.95493,                0.52643,                 1.4899,                 1.6951,                 3.1626,             0.00037842,             0.00037842,             0.00037842
                      3,                0.96924,                 1.1189,                 2.2862,                0.92456,                0.96053,                  0.975,                0.52318,                  1.552,                 1.8336,                 3.2199,             0.00051328,             0.00051328,             0.00051328
                      4,                  1.028,                 1.0395,                 2.4238,                0.90344,                0.96053,                 0.9837,                0.50764,                  1.651,                 1.9053,                 3.3343,             0.00060458,             0.00060458,             0.00060458
                      5,                0.89073,                0.91138,                 2.1664,                0.95941,                0.97368,                0.98187,                0.58303,                 1.4883,                 1.2402,                 3.4419,             0.00065232,             0.00065232,             0.00065232
                      6,                0.90538,                 0.8957,                 2.1754,                0.92041,                0.96053,                0.97591,                0.59638,                  1.372,                0.93342,                 3.2589,              0.0006565,              0.0006565,              0.0006565
                      7,                 0.9026,                0.87321,                 2.1675,                0.95458,                0.94737,                0.97415,                0.57541,                 1.3537,                0.92604,                 3.0844,             0.00061712,             0.00061712,             0.00061712
                      8,                0.84132,                0.79463,                 1.9912,                0.93272,                0.96053,                0.96795,                0.59939,                 1.3726,                0.84781,                 3.1856,             0.00053418,             0.00053418,             0.00053418
                      9,                0.79688,                0.78844,                 2.0809,                0.95303,                0.97368,                0.98233,                0.59688,                 1.4086,                0.76495,                 3.3264,             0.00040768,             0.00040768,             0.00040768
                     10,                0.77344,                0.75704,                  2.064,                0.93677,                0.97467,                0.97308,                0.60333,                 1.3643,                  0.752,                 3.2387,               0.000218,               0.000218,               0.000218
